merek,model,tahun,transmisi,bahan_bakar,kilometer,warna,lokasi,harga
Daihatsu,Gran Max,2015,Automatic,Bensin,145012.0,Abu-abu,Surabaya,38200000
Honda,BR-V,2014,Automatic,Bensin,165019.0,Silver,Medan,62200000
BMW,Seri 5,2008,Automatic,Bensin,246352.0,Hitam,Surabaya,115700000
Honda,HR-V,2020,Manual,Bensin,56788.0,Merah,Yogyakarta,200500000
Toyota,Innova,2022,Automatic,Bensin,61456.0,Abu-abu,Bandung,287200000
Toyota,Agya,2008,Automatic,Bensin,274893.0,Biru,Surabaya,13400000
Toyota,Agya,2022,Manual,Bensin,48544.0,Hitam,Bandung,106300000
Toyota,Rush,2011,Automatic,Bensin,195395.0,Abu-abu,Bandung,38800000
Mitsubishi,Pajero Sport,2023,Manual,Bensin,37742.0,Silver,Surabaya,477300000
Mitsubishi,Xpander,2013,MT,Bensin,132986.0,Merah,Surabaya,53200000
Honda,HR-V,2017,Manual,Bensin,58709.0,Silver,Surabaya,137900000
Mitsubishi,Triton,2021,Automatic,Diesel,87841.0,Hitam,Jakarta,274000000
Honda,CR-V,2020,Manual,Bensin,82174.0,Hitam,Medan,230000000
Toyota,Rush,2009,Manual,Bensin,228805.0,Putih,Yogyakarta,27800000
Nissan,Livina,2008,Manual,Bensin,201420.0,Merah,Bandung,21200000
Mitsubishi,Triton,2009,Automatic,Bensin,157191.0,Silver,Yogyakarta,51700000
Suzuki,Ignis,2014,Matic,Bensin,144102.0,Abu-abu,Surabaya,38900000
Suzuki,Ertiga,2011,Manual,Bensin,222874.0,Hitam,Medan,31800000
Toyota,Innova,2018,Automatic,Diesel,34156.0,Putih,Semarang,176200000
Daihatsu,Sigra,2014,Manual,Diesel,84634.0,Putih,Yogyakarta,41100000
Toyota,Yaris,2016,Manual,Bensin,185862.0,Abu-abu,Bandung,67200000
Mitsubishi,Xpander,2013,Automatic,Bensin,215981.0,Hitam,Bandung,50700000
BMW,Seri 3,2011,Automatic,Bensin,271855.0,Merah,Yogyakarta,119000000
Honda,BR-V,2020,Manual,Bensin,79886.0,Merah,Bandung,136700000
BMW,Seri 5,2009,Automatic,Bensin,209336.0,Silver,Medan,142700000
Honda,BR-V,2019,Manual,Bensin,87453.0,Putih,Yogyakarta,112400000
Daihatsu,Terios,2019,Manual,Bensin,49734.0,Silver,Bandung,117400000
Toyota,Calya,2022,Manual,Bensin,42855.0,Abu-abu,Yogyakarta,103200000
Nissan,Livina,2021,Manual,Bensin,100368.0,Merah,Jakarta,140600000
Honda,HR-V,2009,Automatic,Bensin,154673.0,Biru,Makassar,45000000
Toyota,Yaris,2014,Manual,Bensin,186722.0,Biru,Bandung,43800000
Toyota,Innova,2023,Manual,Diesel,18215.0,Merah,Semarang,324000000
Mitsubishi,Pajero Sport,2009,Automatic,Diesel,250144.0,Silver,Medan,59900000
Honda,Brio,2018,Manual,Bensin,103588.0,Hitam,Yogyakarta,77900000
Honda,HR-V,2022,Automatic,Bensin,39789.0,Putih,Bali,274600000
Toyota,Rush,2010,Manual,Bensin,268372.0,Hitam,Semarang,29400000
Toyota,Calya,2022,Manual,Bensin,44426.0,Silver,Yogyakarta,114000000
Mitsubishi,Xpander,2012,Automatic,Bensin,288537.0,Biru,Bali,39600000
Suzuki,XL7,2018,Manual,Bensin,67041.0,Silver,Yogyakarta,110600000
Toyota,Fortuner,2009,Manual,Bensin,197399.0,Silver,Bandung,63700000
Honda,Brio,2020,Manual,Bensin,59861.0,Silver,Surabaya,86000000
Toyota,Rush,2010,Automatic,Bensin,203113.0,Abu-abu,Surabaya,37900000
BMW,X5,2023,Automatic,Diesel,22434.0,Putih,Bandung,1413700000
Mercedes-Benz,GLA,2020,Automatic,Bensin,49792.0,Merah,Makassar,525400000
Toyota,Avanza,2017,Automatic,,,,Jakarta,77600000
Honda,Mobilio,2023,Manual,Bensin,24363.0,Abu-abu,Medan,179400000
Suzuki,Ertiga,2010,Manual,Diesel,219857.0,Putih,Yogyakarta,31700000
Suzuki,XL7,2016,Manual,Bensin,198027.0,Silver,Bandung,65800000
Daihatsu,Sigra,2014,Manual,Bensin,206606.0,Putih,Makassar,31500000
Toyota,Agya,2014,Automatic,Bensin,198676.0,Putih,Semarang,37100000
Daihatsu,Terios,2018,Manual,Diesel,74088.0,Biru,Semarang,102800000
Suzuki,Ignis,2014,Manual,Bensin,226589.0,Putih,Makassar,33000000
Suzuki,Baleno,2015,Manual,Diesel,105135.0,Merah,Surabaya,57700000
Honda,CR-V,2008,Manual,Bensin,234953.0,Biru,Yogyakarta,44300000
Daihatsu,Sigra,2022,Automatic,Bensin,46840.0,Putih,Bandung,124300000
Nissan,X-Trail,2008,Automatic,Bensin,200952.0,Abu-abu,Yogyakarta,43800000
Toyota,Rush,2012,Manual,Bensin,133775.0,Merah,Makassar,43300000
Honda,Jazz,2016,Automatic,Bensin,92299.0,Silver,Yogyakarta,76100000
Honda,Brio,2016,Manual,Bensin,98434.0,Abu-abu,Jakarta,51200000
Toyota,Fortuner,2019,Automatic,Diesel,73610.0,Biru,Bali,285600000
Suzuki,Ertiga,2015,Manual,Bensin,122358.0,Biru,Yogyakarta,63900000
Daihatsu,Terios,2015,Manual,,,,Yogyakarta,59700000
Daihatsu,Gran Max,2010,Manual,Bensin,78142.0,Silver,Bali,22200000
Toyota,Innova,2019,Manual,Bensin,80689.0,Biru,Makassar,164600000
Honda,City,2016,Automatic,Bensin,74195.0,Silver,Surabaya,113900000
Mitsubishi,Pajero Sport,2018,Automatic,Diesel,85477.0,Biru,Jakarta,277600000
BMW,X5,2009,Automatic,Diesel,193930.0,Hitam,Bali,198100000
Suzuki,Ertiga,2014,Automatic,Bensin,192851.0,Putih,Yogyakarta,52800000
Toyota,Yaris,2010,Manual,Bensin,163304.0,Hitam,Surabaya,34600000
Honda,City,2014,Automatic,Bensin,200252.0,Merah,Semarang,66100000
Daihatsu,Ayla,2015,Manual,Bensin,186413.0,Silver,Makassar,32500000
Suzuki,XL7,2018,,,,,Medan,122900000
Daihatsu,Gran Max,2008,Manual,Bensin,157403.0,Putih,Bandung,14800000
Honda,HR-V,2016,Manual,Bensin,133896.0,Silver,Bali,107400000
Toyota,Yaris,2010,Automatic,Bensin,200185.0,Putih,Bandung,31000000
Toyota,Rush,2021,Manual,Bensin,,,Makassar,149600000
Toyota,Calya,2015,Manual,Bensin,70077.0,Abu-abu,Makassar,47800000
Toyota,Avanza,2011,Manual,Bensin,174519.0,Putih,Makassar,33200000
Toyota,Avanza,2020,Manual,Diesel,65720.0,Hitam,Bali,122900000
Toyota,Calya,2012,Manual,Bensin,225993.0,Merah,Surabaya,24000000
Honda,BR-V,2017,Manual,Bensin,100868.0,Merah,Bali,87000000
Mercedes-Benz,C-Class,2014,Automatic,Bensin,182758.0,Silver,Jakarta,210700000
Suzuki,Baleno,2023,Automatic,Bensin,36944.0,Abu-abu,Bandung,204400000
Honda,CR-V,2013,Manual,Bensin,211495.0,Merah,Bandung,89500000
Honda,CR-V,2012,Automatic,Bensin,217365.0,Biru,Medan,84100000
Honda,Mobilio,2012,Manual,Diesel,146154.0,Putih,Surabaya,42800000
Suzuki,Ertiga,2014,Manual,Bensin,169017.0,Merah,Bandung,48500000
Suzuki,XL7,2008,Manual,Bensin,283481.0,Putih,Yogyakarta,24600000
Nissan,Livina,2019,Manual,Bensin,94776.0,Abu-abu,Makassar,92800000
Honda,Mobilio,2018,Manual,Bensin,126812.0,Merah,Medan,76600000
Honda,City,2020,Manual,Bensin,72800.0,Hitam,Jakarta,168000000
Honda,CR-V,2017,Automatic,Diesel,155123.0,Hitam,Jakarta,163400000
Toyota,Fortuner,2013,Manual,Diesel,163943.0,Abu-abu,Makassar,93200000
Daihatsu,Ayla,2019,Manual,Bensin,96146.0,Abu-abu,Surabaya,56200000
Toyota,Innova,2014,Automatic,Bensin,180327.0,Merah,Makassar,87900000
Toyota,Yaris,2018,Manual,Bensin,19126.0,Merah,Semarang,109200000
Nissan,Livina,2015,Manual,Bensin,96423.0,Hitam,Bali,52300000
BMW,X5,2017,Automatic,Bensin,75329.0,Merah,Bali,629500000
Suzuki,XL7,2014,Automatic,Diesel,115647.0,Abu-abu,Medan,71400000
Suzuki,Ertiga,2022,Automatic,Bensin,40060.0,Putih,Surabaya,168000000
Mitsubishi,Pajero Sport,2021,Automatic,Bensin,65268.0,Putih,Bandung,372400000
Toyota,Agya,2023,Manual,Bensin,23069.0,Biru,Medan,125700000
Toyota,Avanza,2011,Manual,Bensin,177963.0,Putih,Yogyakarta,32300000
Mitsubishi,Pajero Sport,2010,Automatic,Bensin,244375.0,Merah,Yogyakarta,71800000
Daihatsu,Gran Max,2017,Manual,Bensin,124595.0,Silver,Bali,53800000
Honda,City,2009,Manual,Bensin,292991.0,Silver,Semarang,29500000
Nissan,Grand Livina,2015,Automatic,Diesel,82381.0,Merah,Makassar,62700000
Honda,City,2010,Automatic,Bensin,96712.0,Merah,Semarang,52800000
Toyota,Yaris,2014,Manual,Bensin,104573.0,Putih,Medan,55800000
Honda,HR-V,2010,Automatic,Diesel,247790.0,Silver,Surabaya,49200000
BMW,Seri 3,2011,Manual,Diesel,181729.0,Silver,Bandung,139300000
Honda,Jazz,2018,Automatic,Bensin,84843.0,,Semarang,105500000
BMW,Seri 5,2018,Automatic,Bensin,163500.0,Putih,Bali,375900000
Toyota,Yaris,2010,Manual,Bensin,214876.0,Silver,Semarang,30100000
Nissan,X-Trail,2010,Automatic,Bensin,206729.0,Merah,Bandung,59600000
Daihatsu,Ayla,2020,Manual,Bensin,40582.0,Putih,Surabaya,80900000
Mitsubishi,Triton,2013,Automatic,Diesel,157262.0,Silver,Semarang,75000000
Honda,HR-V,2010,Manual,Diesel,157230.0,Silver,Medan,47500000
Toyota,Rush,2008,Automatic,Bensin,267748.0,Biru,Yogyakarta,26400000
Suzuki,XL7,2020,Automatic,Bensin,39299.0,Putih,Semarang,162300000
Daihatsu,Terios,2022,Manual,Bensin,35794.0,Putih,Surabaya,187500000
Honda,BR-V,2008,Automatic,Bensin,234913.0,Putih,Makassar,25900000
Honda,City,2009,Automatic,Diesel,288786.0,Biru,Makassar,36500000
Toyota,Avanza,2009,Automatic,Bensin,119689.0,Hitam,Semarang,27400000
Mercedes-Benz,C-Class,2013,Automatic,Bensin,159265.0,Biru,Makassar,192700000
Honda,CR-V,2011,Automatic,Bensin,185770.0,Hitam,Bali,71500000
Mitsubishi,Triton,2020,Manual,Bensin,90141.0,Abu-abu,Makassar,207400000
BMW,Seri 5,2022,Automatic,Bensin,33380.0,Merah,Yogyakarta,849600000
Toyota,Avanza,2015,Manual,Bensin,115574.0,Hitam,Jakarta,54900000
Toyota,Avanza,2010,Manual,Bensin,245437.0,Biru,Makassar,23900000
Honda,Jazz,2008,Manual,Bensin,163011.0,Abu-abu,Yogyakarta,23700000
Daihatsu,Ayla,2020,Automatic,Bensin,47806.0,Hitam,Bali,79200000
Toyota,Innova,2012,Manual,,,,Medan,48900000
Suzuki,XL7,2023,Automatic,Bensin,21061.0,Hitam,Bandung,222700000
Toyota,Rush,2010,Manual,Bensin,116156.0,Biru,Surabaya,36800000
Suzuki,Baleno,2014,Manual,Bensin,161377.0,Putih,Jakarta,56100000
Toyota,Innova,2008,Manual,Bensin,250307.0,Abu-abu,Yogyakarta,29400000
Toyota,Yaris,2016,Manual,Bensin,123047.0,Silver,Makassar,68000000
Toyota,Avanza,2011,Manual,Bensin,234490.0,Silver,Semarang,25800000
Suzuki,Carry,2017,Manual,Bensin,127259.0,Merah,Medan,51800000
Mercedes-Benz,GLA,2021,Automatic,Bensin,61928.0,Putih,Bali,510100000
Mitsubishi,Triton,2023,Automatic,Diesel,24687.0,Putih,Yogyakarta,376900000
Daihatsu,Terios,2008,Automatic,Bensin,249641.0,Hitam,Makassar,23600000
Mitsubishi,Pajero Sport,2016,Automatic,Diesel,109635.0,Abu-abu,Yogyakarta,202600000
Mercedes-Benz,E-Class,2022,Automatic,Bensin,36768.0,Abu-abu,Surabaya,995200000
Honda,Brio,2015,Manual,Bensin,73632.0,Abu-abu,Makassar,47400000
Suzuki,Ignis,2018,,,,,Bali,70700000
Daihatsu,Gran Max,2020,Manual,Diesel,69939.0,Biru,Surabaya,88700000
Toyota,Calya,2020,Manual,Bensin,60416.0,Merah,Semarang,95400000
Mitsubishi,Xpander,2008,Manual,Bensin,159396.0,Merah,Medan,31200000
Toyota,Innova,2011,Automatic,Bensin,124563.0,Hitam,Bali,58400000
Suzuki,XL7,2021,Automatic,Bensin,56313.0,Merah,Bandung,183600000
Honda,HR-V,2022,Manual,Bensin,46256.0,Biru,Makassar,270100000
Mitsubishi,Triton,2009,Automatic,Bensin,325244.0,Merah,Bali,41400000
Toyota,Innova,2019,Manual,Bensin,106387.0,Putih,Makassar,159400000
Toyota,Agya,2012,Automatic,Bensin,257172.0,Biru,Yogyakarta,22500000
Nissan,Grand Livina,2015,Automatic,Bensin,190973.0,Biru,Semarang,56200000
Toyota,Agya,2010,Manual,Bensin,159810.0,Abu-abu,Jakarta,21800000
Toyota,Avanza,2008,Manual,Bensin,427364.0,Hitam,Makassar,12300000
Nissan,Livina,2016,Manual,Bensin,148121.0,Hitam,Bali,66800000
Toyota,Fortuner,2009,Automatic,Diesel,238453.0,Putih,Makassar,61000000
Honda,Jazz,2021,Automatic,Bensin,45431.0,Abu-abu,Makassar,150400000
Daihatsu,Sigra,2010,Manual,Diesel,240273.0,Hitam,Surabaya,18700000
Honda,City,2016,Automatic,Bensin,131072.0,Hitam,Bali,101300000
Toyota,Agya,2012,Manual,Bensin,224540.0,Merah,Surabaya,24900000
Honda,BR-V,2018,Manual,Bensin,120288.0,Silver,Jakarta,106300000
Suzuki,Baleno,2010,MT,Bensin,178384.0,Silver,Bandung,29900000
Nissan,X-Trail,2019,Automatic,Bensin,88549.0,Merah,Bandung,205100000
Mercedes-Benz,E-Class,2021,Automatic,Bensin,92456.0,Silver,Medan,633400000
Mitsubishi,Pajero Sport,2008,Automatic,Bensin,292540.0,Merah,Bali,54400000
Daihatsu,Terios,2013,Automatic,Diesel,134311.0,Putih,Semarang,50300000
Mitsubishi,Pajero Sport,2023,Automatic,Bensin,14139.0,Abu-abu,Jakarta,606000000
Toyota,Yaris,2012,Manual,Bensin,270993.0,Hitam,Makassar,38200000
Honda,HR-V,2021,Manual,Bensin,52706.0,Abu-abu,Jakarta,194900000
Daihatsu,Sigra,2014,Manual,Bensin,150120.0,Merah,Semarang,33500000
Honda,Brio,2022,Automatic,Bensin,41599.0,Putih,Surabaya,132600000
Daihatsu,Xenia,2018,MT,Bensin,114739.0,Hitam,Yogyakarta,78500000
Nissan,Livina,2017,Manual,Bensin,87146.0,Putih,Surabaya,83600000
Daihatsu,Gran Max,2015,Manual,Bensin,165588.0,Abu-abu,Medan,42600000
Nissan,Livina,2023,Manual,Diesel,29420.0,Biru,Surabaya,203500000
Mitsubishi,Pajero Sport,2008,Automatic,Diesel,302245.0,Biru,Medan,54500000
Mitsubishi,Xpander,2020,Automatic,Bensin,70613.0,Biru,Bandung,135800000
Honda,Jazz,2022,Automatic,Bensin,41560.0,Merah,Bandung,184700000
Mercedes-Benz,C-Class,2014,Automatic,Diesel,162319.0,Hitam,Bandung,207200000
Mercedes-Benz,C-Class,2016,Automatic,Bensin,174477.0,Abu-abu,Medan,230100000
Honda,HR-V,2012,Manual,Diesel,152701.0,Putih,Surabaya,66800000
Daihatsu,Terios,2014,Manual,Bensin,104638.0,Hitam,Semarang,53400000
Honda,Jazz,2022,Automatic,Bensin,63147.0,Putih,Makassar,195000000
Toyota,Innova,2023,Automatic,Bensin,33492.0,Biru,Semarang,308000000
Mitsubishi,Xpander,2012,Automatic,Bensin,169794.0,Putih,Yogyakarta,47200000
Daihatsu,Sigra,2016,Manual,Bensin,105336.0,Abu-abu,Bali,47900000
Mitsubishi,Pajero Sport,2017,Automatic,Diesel,87113.0,Hitam,Bandung,248300000
Honda,BR-V,2017,Manual,Bensin,75892.0,Merah,Semarang,89400000
Honda,HR-V,2018,Automatic,Bensin,52002.0,Abu-abu,Surabaya,153400000
Daihatsu,Sigra,2021,Manual,Bensin,75201.0,Silver,Semarang,92100000
Toyota,Yaris,2013,Automatic,Bensin,185722.0,Merah,Jakarta,45100000
Toyota,Calya,2008,Manual,Bensin,218257.0,Biru,Bandung,15800000
Honda,HR-V,2010,Automatic,Bensin,256891.0,Silver,Medan,37900000
Mitsubishi,Triton,2018,Automatic,Diesel,127563.0,Putih,Medan,155600000
Mitsubishi,Pajero Sport,2008,Manual,Diesel,251787.0,Hitam,Makassar,54300000
Suzuki,Baleno,2011,Automatic,Bensin,185777.0,,Bandung,37600000
Honda,HR-V,2013,Automatic,Diesel,144934.0,Biru,Semarang,80700000
Mercedes-Benz,C-Class,2010,Automatic,Bensin,245485.0,Biru,Medan,104200000
Toyota,Calya,2016,Manual,Bensin,205425.0,Merah,Makassar,42200000
Nissan,X-Trail,2023,Manual,Diesel,34789.0,Putih,Semarang,360800000
Toyota,Rush,2010,Automatic,Bensin,223990.0,Hitam,Medan,33500000
Daihatsu,Terios,2023,Manual,Diesel,29469.0,Biru,Semarang,201500000
Nissan,X-Trail,2019,Automatic,Bensin,71396.0,Silver,Bandung,195700000
Honda,Brio,2012,Manual,Bensin,152603.0,Silver,Jakarta,28700000
Daihatsu,Terios,2018,Manual,Bensin,54689.0,Abu-abu,Semarang,112500000
Toyota,Avanza,2016,Automatic,Diesel,158820.0,Biru,Surabaya,65000000
Toyota,Innova,2011,Automatic,Diesel,204245.0,Silver,Surabaya,59300000
Mitsubishi,Xpander,2011,Manual,Bensin,282561.0,Putih,Semarang,35100000
Honda,HR-V,2013,Manual,Bensin,123848.0,Putih,Medan,72700000
Toyota,Fortuner,2018,Automatic,Diesel,130052.0,Merah,Yogyakarta,218600000
Honda,City,2014,Automatic,Diesel,37724.0,Abu-abu,Semarang,91400000
Mitsubishi,Xpander,2020,Manual,Bensin,73186.0,,Yogyakarta,128300000
Suzuki,Ertiga,2018,Manual,Bensin,108352.0,Hitam,Bali,87400000
Toyota,Rush,2013,Manual,Bensin,133610.0,Silver,Surabaya,45600000
BMW,Seri 3,2017,Automatic,Diesel,154743.0,Biru,Medan,296500000
Toyota,Innova,2022,Matic,Bensin,39017.0,Merah,Surabaya,261700000
Honda,BR-V,2010,Manual,Bensin,253893.0,Putih,Medan,32900000
Mitsubishi,Xpander,2020,Manual,Bensin,92862.0,Silver,Bandung,136600000
BMW,Seri 5,2012,Automatic,Diesel,136746.0,Biru,Jakarta,219400000
Toyota,Fortuner,2016,Automatic,Bensin,136809.0,Hitam,Medan,168500000
Suzuki,Ignis,2017,Manual,Diesel,128180.0,Hitam,Yogyakarta,58700000
Toyota,Yaris,2018,Automatic,Bensin,125381.0,Putih,Surabaya,111500000
Toyota,Fortuner,2014,Automatic,Diesel,154725.0,Hitam,Medan,121900000
Honda,Jazz,2018,Manual,Bensin,126947.0,Biru,Bali,93100000
Toyota,Rush,2016,Manual,Diesel,75754.0,Silver,Medan,92000000
BMW,Seri 3,2017,Automatic,Bensin,53516.0,Merah,Semarang,362700000
Toyota,Innova,2012,Automatic,Bensin,227728.0,Merah,Bandung,68000000
Daihatsu,Sigra,2017,Manual,Bensin,135789.0,Hitam,Yogyakarta,52300000
Toyota,Fortuner,2021,Automatic,Diesel,28561.0,Silver,Bandung,355400000
Toyota,Agya,2020,Manual,Bensin,62689.0,Silver,Yogyakarta,75100000
Mercedes-Benz,C-Class,2020,Automatic,Bensin,76755.0,Hitam,Jakarta,540000000
Suzuki,Carry,2023,Manual,Bensin,49629.0,Silver,Jakarta,123600000
Suzuki,XL7,2017,Manual,Bensin,82521.0,Putih,Bandung,95700000
Toyota,Calya,2018,Manual,Bensin,74109.0,Abu-abu,Surabaya,75000000
Mitsubishi,Triton,2014,Automatic,Bensin,182819.0,Hitam,Yogyakarta,76200000
Toyota,Innova,2019,Manual,Bensin,91994.0,,Jakarta,174900000
Toyota,Fortuner,2009,Automatic,Diesel,291753.0,Merah,Makassar,63300000
Honda,Jazz,2008,Automatic,Bensin,231416.0,Hitam,Bali,22900000
Nissan,X-Trail,2018,Automatic,Diesel,81144.0,Merah,Bandung,175000000
